id,lact,dim,fat,hei
5649,2,301,936,148
5361,1,447,955,146
4312,2,368,615,149
6324,1,294,984,149
6190,2,384,1040,150
5923,2,399,899,148
6187,1,280,1198,150
5653,3,464,903,149
5670,4,305,881,149
5498,1,321,832,152
5907,1,328,1090,147
6299,3,291,745,146
5224,2,295,805,149
5339,3,337,822,148
6187,2,342,1121,147
5795,3,297,1146,146
6255,1,610,1204,151
6507,2,305,794,146
6470,1,323,761,150
5737,4,273,935,153
4993,3,360,751,146
5175,2,404,1242,151
6123,1,549,987,145
5215,1,527,847,151
6027,4,329,798,149
5778,1,367,963,143
5187,1,568,851,151
4375,1,474,981,150
5723,2,319,1211,145
6442,1,439,1023,153
